walker	A	B	C	D	E	log_l	log_p
47	2.338168181e+00	1.631742426e+00	-4.377470322e-01	8.297839698e-02	-1.078739995e+00	1.684213443e+01	4.082199452e-02
48	2.298642363e+00	1.648280091e+00	-4.420784412e-01	8.345720691e-02	-1.052152401e+00	1.638042672e+01	4.082199452e-02
49	2.294759145e+00	1.645907653e+00	-4.459729561e-01	8.334265455e-02	-1.043103309e+00	1.643915484e+01	4.082199452e-02
0	2.042592022e+00	1.501518238e+00	-2.689815870e-01	1.027509294e-01	-5.535634484e-01	1.670208210e+01	4.082199452e-02
1	1.908533404e+00	1.460872746e+00	-2.822940671e-01	1.075220880e-01	-4.573762142e-01	1.781112233e+01	4.082199452e-02
2	1.663392253e+00	1.659492533e+00	-7.964456851e-02	9.846562335e-02	-8.809921067e-01	9.565198660e+00	4.082199452e-02
3	1.989941345e+00	1.281600617e+00	-3.009114972e-01	1.374829550e-01	-3.881765802e-01	1.554334615e+01	4.082199452e-02
4	2.312589591e+00	1.584244839e+00	-2.418850866e-01	9.306025968e-02	-7.494296003e-01	1.456254382e+01	4.082199452e-02
5	2.224057096e+00	1.472001020e+00	-2.664100286e-01	1.027555437e-01	-7.882324322e-01	1.661452158e+01	4.082199452e-02
6	2.267319660e+00	1.543584495e+00	-3.396399137e-01	9.403581368e-02	-9.094188176e-01	1.636255346e+01	4.082199452e-02
7	2.206186376e+00	1.568801013e+00	-2.452798701e-01	9.310024932e-02	-9.457310609e-01	1.521742947e+01	4.082199452e-02
8	2.142501726e+00	1.522575947e+00	-3.292251342e-01	9.472678241e-02	-7.580035823e-01	1.526320161e+01	4.082199452e-02
9	2.045374535e+00	1.471464328e+00	-2.273442712e-01	9.733505639e-02	-6.790435743e-01	1.594661014e+01	4.082199452e-02
10	2.034025270e+00	1.570094657e+00	-2.636096562e-01	8.732387389e-02	-7.935762604e-01	1.478097270e+01	4.082199452e-02
11	2.057051293e+00	1.575747236e+00	-2.522827239e-01	9.016454584e-02	-8.401473001e-01	1.500400109e+01	4.082199452e-02
